customer_id|first_name|last_name|email|address|city|state|postal_code|phone_number
1|Chris|Williams|ibrown@example.net|6739 Kimberly Highway,Alexandermouth, AZ 05663|East Tracyport|Wisconsin|86965|215-543-8544x65462
2|Luis|Thomas|whiteelizabeth@example.org|982 Ethan Drive,Davidburgh, CT 26039|Buckleyberg|Minnesota|30392|001-608-302-0685
3|Caroline|Farrell|mprice@example.net|279 Schultz Island,Kristybury, KY 17393|South Heidi|New York|54528|+1-399-630-4048x538
4|Omar|Kelly|wallacescott@example.com|50826 Patel Highway Apt. 794,Simmonstown, GA 48296|New Matthew|California|86470|844-618-6519
5|Amy|Luna|bonillafrank@example.com|9061 Williams Lane Apt. 584,Santosfort, CA 87958|Riverastad|Missouri|00735|+1-284-430-8886x38709
6|Maria|Ramos|ryan32@example.com|188 Thomas Shoal Apt. 052,South Theresa, PR 99287|Brittneyborough|Oklahoma|75034|(284)276-8032x887
7|Crystal|White|beardnatasha@example.com|7651 Avila Turnpike Suite 069,Patrickbury, HI 75737|Leviport|Virginia|85426|664.988.7207x80082
8|Melinda|Simmons|jacobtaylor@example.org|0351 Hughes Tunnel,East Jamesstad, GA 49489|East Brent|Nebraska|98347|258.333.9334x900
9|Lori|Christian|tsullivan@example.org|742 Vernon Harbors,North Gina, VT 31045|Martinezmouth|Virginia|97284|(730)591-5166
10|Jessica|Stewart|lauren22@example.org|121 Kristi Divide Apt. 245,Jamesville, AZ 59889|Lake Patrick|Tennessee|45405|863.330.1340x72548
11|Brenda|Ochoa|eric70@example.com|0228 Thomas Burgs,Armstrongburgh, VA 81519|South Heatherville|Arizona|83639|241-387-8475x51795
12|Sophia|Bell|traciburnett@example.net|2252 Morris Courts Apt. 274,Jeffreymouth, MP 09389|Burkefort|South Carolina|83930|001-908-657-2325x2949
13|James|Randall|judy99@example.com|9207 Ann Street Apt. 887,Sarahside, NC 78081|New Ricky|Utah|82419|682.821.4373x40401
14|Todd|Escobar|zjackson@example.net|19995 Ashley Orchard Apt. 511,East Jeffrey, VA 03854|Hunterhaven|Mississippi|56830|394-914-5173
